24000,prārṇam,prārṇa,"Neuter",2,プラーナ,Prana
24001,prāsabhāratam,prāsabhārata,"Neuter",2,プラサバラタ,prasabharata
24002,prāsanam,prāsana,"Neuter",2,プラサン,Prasan
24003,prāskaṇvam,prāskaṇva,"Neuter",2,プレスキャン,prescan
24004,prāsthikam,prāsthika,"Neuter",2,補綴,Prosthetic
24005,prāsthānikam,prāsthānika,"Neuter",2,ローカル,local
24006,prāstutyam,prāstutya,"Neuter",2,発表,Presentation
24007,prāsādalakṣaṇam,prāsādalakṣaṇa,"Neuter",2,宮殿の特徴,Palace characteristics
24008,prāsādapṛṣṭham,prāsādapṛṣṭha,"Neuter",2,宮殿のページ,Palace page
24009,prāsādatalam,prāsādatala,"Neuter",2,宮殿の床,Palace floor
24010,prāsādaśṛṅgam,prāsādaśṛṅga,"Neuter",2,パレスホーン,Palace Horn
24011,prāsādāgram,prāsādāgra,"Neuter",2,宮殿正面,Palace front
24012,prāsādāgryam,prāsādāgrya,"Neuter",2,パレスファースト,Palace foremost
24013,prāsādālaṃkāralakṣaṇam,prāsādālaṃkāralakṣaṇa,"Neuter",2,宮殿装飾の特徴,Palace ornamentation characteristics
24014,prāsādānukīrtanam,prāsādānukīrtana,"Neuter",2,プラサダヌキルタン,Prasadanukirtan
24015,prāsādārohaṇam,prāsādārohaṇa,"Neuter",2,パレスクライミング,Palace climbing
24016,prāsāham,prāsāha,"Neuter",2,プラサー,Prasah
24017,prātaragnihotrakālātikramaprāyaścittam,prātaragnihotrakālātikramaprāyaścitta,"Neuter",2,朝火のいけにえの時を超えた罪の償い,Atonement for exceeding the time of the morning fire sacrifice
24018,prātaraśanam,prātaraśana,"Neuter",2,朝ごはん,Breakfast
24019,prātarbhojanam,prātarbhojana,"Neuter",2,朝ごはん,Breakfast
24020,prātardinam,prātardina,"Neuter",2,朝,Morning
24021,prātardugdham,prātardugdha,"Neuter",2,朝のミルク,Morning milk
24022,prātarhutam,prātarhuta,"Neuter",2,プラルート,Prarhut
24023,prātarmādhyaṃdinasavanam,prātarmādhyaṃdinasavana,"Neuter",2,プラタルマディアンディナサヴァン,Pratarmadhyandinasavan
24024,prātarupasthānam,prātarupasthāna,"Neuter",2,朝の様子,Morning appearance
24025,prātastanam,prātastana,"Neuter",2,朝の胸,Morning breast
24026,prātaḥkālavaktavyam,prātaḥkālavaktavya,"Neuter",2,朝の声明,Morning statement
24027,prātaḥkāryam,prātaḥkārya,"Neuter",2,朝の仕事,Morning work
24028,prātaḥkṛtyam,prātaḥkṛtya,"Neuter",2,午前中に,In the morning
24029,prātaḥsavanam,prātaḥsavana,"Neuter",2,午前の部,morning session
24030,prātaḥsaṃdhyāvandanam,prātaḥsaṃdhyāvandana,"Neuter",2,朝夕のあいさつ,Morning and evening greetings
24031,prātaḥsmaraṇam,prātaḥsmaraṇa,"Neuter",2,朝の記憶,Morning remembrance
24032,prātaḥsmaraṇastotram,prātaḥsmaraṇastotra,"Neuter",2,初期の記憶,early remembrance
24033,prātaḥsmaraṇāṣṭakam,prātaḥsmaraṇāṣṭaka,"Neuter",2,プレータムナシュタク,praetamnashtak
24034,prātaḥsmaraṇīyam,prātaḥsmaraṇīya,"Neuter",2,朝のリマインダー,Morning reminder
24035,prātaḥsnānam,prātaḥsnāna,"Neuter",2,朝風呂,Morning bath
24036,prāthamyam,prāthamya,"Neuter",2,優先順位,Priority
24037,prātibham,prātibha,"Neuter",2,タレント,talent
24038,prātibhaṭyam,prātibhaṭya,"Neuter",2,保証,guarantee
24039,prātibhāvyam,prātibhāvya,"Neuter",2,天才,genius
24040,prātihantram,prātihantra,"Neuter",2,朝早く,early morning
24041,prātihartram,prātihartra,"Neuter",2,毎朝,every morning
24042,prātihāryam,prātihārya,"Neuter",2,許容できる,acceptable
24043,prātijñam,prātijña,"Neuter",2,有望な,Promising
24044,prātikyam,prātikya,"Neuter",2,プラティキヤ,Pratikya
24045,prātikūlyam,prātikūlya,"Neuter",2,不利,Adverse
24046,prātilomyam,prātilomya,"Neuter",2,逆に,Inversely
24047,prātipadikam,prātipadika,"Neuter",2,代名詞,Pronouns
24048,prātipakṣyam,prātipakṣya,"Neuter",2,反対,The opposite
24049,prātirūpyam,prātirūpya,"Neuter",2,複製可能,Replicable
24050,prātiśākhyabhāṣyam,prātiśākhyabhāṣya,"Neuter",2,プラティシャキャバシャ,Pratishakhyabhashya
24051,prātiśākhyam,prātiśākhya,"Neuter",2,プラティシャキヤ,Pratishakhya
24052,prātīpyam,prātīpya,"Neuter",2,債権,Receivable
24053,prāvaraṇam,prāvaraṇa,"Neuter",2,覆い、被せ,Cover
