avaskandin,avaskandin,3n,介護者,a caregiver,0
ekadhanavid,ekadhanavid,3s,金融業者,A financier,0
ekadhanin,ekadhanin,3n,金持ち,A rich man,0
ekajāti,ekajāti,3i,種,A species,0
ābhū,ābhū,3s,アブ,Aabhu,0
ādhitsu,ādhitsu,4u,aadhitsu,aadhitsu,0
āḍhyāḍu,āḍhyāḍu,4u,Aadhyadu,Aadhyadu,0
āḍhyambhaviṣṇu,āḍhyambhaviṣṇu,4u,aadhyambishnu,aadhyambishnu,0
āgaskṛt,āgaskṛt,3s,火,Aagaskrit,0
ājighṛkṣu,ājighṛkṣu,4u,Aajarikshau,Aajarikshau,0
ājihīrṣu,ājihīrṣu,4u,aajihirshu,aajihirshu,0
ākurvatī,ākurvatī,3s,Aakurvati,Aakurvati,0
ālakṣi,ālakṣi,3i,アーラクシ,Aalakshi,0
āli,āli,3i,aali,aali,0
āmrin,āmrin,3n,aamrin,aamrin,0
evaṃvidus,evaṃvidus,3con,aandvidus,aandvidus,0
apāpakāśin,apāpakāśin,3n,aapakashin,aapakashin,0
āpāntamanyu,āpāntamanyu,4u,aapantamanyu,aapantamanyu,0
āpīḍin,āpīḍin,3n,aapdin,aapdin,0
ātāpin,ātāpin,3n,aapin,aapin,0
āpyāyin,āpyāyin,3n,aapyain,aapyain,0
ārāvin,ārāvin,3n,aaravin,aaravin,0
āruh,āruh,3s,aaruh,aaruh,0
āruj,āruj,3s,aaruj,aaruj,0
ārujatnu,ārujatnu,4u,aarujatnu,aarujatnu,0
āśaṃsin,āśaṃsin,3n,賞賛,Aashansin,0
āśīyas,āśīyas,3con,アーシス,Aashis,0
avāvan,avāvan,3n,Aavan,Aavan,0
abaladhanvan,abaladhanvan,3n,アバルダンワン,abaldhanwan,0
parityāgin,parityāgin,3n,放棄された,abandoned,0
parityaj,parityaj,3s,放棄された,abandoned,0
tyaktāgni,tyaktāgni,3i,放棄された火,abandoned fire,0
tyaktavidhi,tyaktavidhi,3i,放棄された方法,Abandoned method,0
tyaktātman,tyaktātman,3n,捨てられた魂,abandoned soul,0
parityaktṛ,parityaktṛ,3r,放棄者,abandoners,0
ghṛtavartani,ghṛtavartani,3i,略語,abbreviation,0
abdabhū,abdabhū,3s,abdbhu,abdbhu,0
abdimat,abdimat,3con,アブディマット,abdimat,0
udaraṃbhari,udaraṃbhari,3i,腹部,abdomen,0
udarin,udarin,3n,腹部スピン,abdominalspin,0
apahṛt,apahṛt,3s,誘拐された,Abducted,0
abalīyas,abalīyas,3con,アベリアス,abelias,0
vibhraṃśin,vibhraṃśin,3n,異常,aberrant,0
vipathi,vipathi,3i,収差,aberration,0
abhi,abhi,3i,アビ,Abhi,0
abhibādhitṛ,abhibādhitṛ,3r,アビバディトリ,Abhibadhitri,0
abhibhū,abhibhū,3s,アビブ,Abhibhu,0
abhidhātṛ,abhidhātṛ,3r,アビダトリ,Abhidhatri,0
abhidhṛṣṇu,abhidhṛṣṇu,4u,アビディシュヌ,Abhidishnu,0
abhidyu,abhidyu,4u,アビデュ,Abhidyu,0
abhihrut,abhihrut,3s,Abhihrut,Abhihrut,0
abhijit,abhijit,3s,アビジット,Abhijit,0
abhikṣadā,abhikṣadā,3s,abhikshada,abhikshada,0
abhīlāpalap,abhīlāpalap,3s,abhilapalapp,abhilapalapp,0
abhimarśin,abhimarśin,3n,アビマルシン,Abhimarshin,0
abhipāṇḍu,abhipāṇḍu,4u,アビパンドゥ,Abhipandu,0
abhipramur,abhipramur,3s,Abhipramur,Abhipramur,0
abhirāj,abhirāj,3s,アビラジ,Abhiraj,0
abhīru,abhīru,4u,アビル,Abhiru,0
abahirvāsas,abahirvāsas,3con,abhirvasas,abhirvasas,0
abhisartṛ,abhisartṛ,3r,アビサルトリ,Abhisartri,0
abhiśāstṛ,abhiśāstṛ,3r,アビシャストラ,Abhishastra,0
abhiṣekārdraśiras,abhiṣekārdraśiras,3con,abhishekadrashirs,abhishekadrashirs,0
abhiṣṭiśavas,abhiṣṭiśavas,3con,Abhishishvas,Abhishishvas,0
abhiśocayiṣṇu,abhiśocayiṣṇu,4u,Abhishochayishnu,Abhishochayishnu,0
